"song_name","song_popularity","Duration_ms","Acousticness","Danceability","Energy","Instrumentalness","Key","Liveness","Loudness","Audio_mode","Speechiness","Tempo","Time_signature","Audio_valence","binomial"
"2:00 AM",57,190217,0.119,0.663,0.762,0,0,0.161,-3.327,1,0.0435,140.044,4,0.321,1
"03:15",76,167018,0.385,0.651,0.654,0,1,0.181,-5.481,1,0.0466,141.975,4,0.539,1
"06:30",74,213000,0.149,0.757,0.579,0,1,0.0543,-3.827,0,0.0809,99.968,4,0.56,1
"9.13",26,55720,0.975,0.289,0.451,0.942,2,0.222,-15.013,1,0.0538,131.72,3,0.59,1
"18",53,205370,0.877,0.483,0.305,6.78e-05,11,0.126,-8.15,0,0.268,79.458,4,NA,1
"18",53,205370,0.877,0.483,0.305,6.78e-05,11,0.126,-8.15,0,0.268,79.458,4,0.273,1
"21",54,194480,0.0586,0.501,0.9,0,11,0.218,-4.366,1,0.0433,160.096,4,0.943,1
"21",54,194480,0.0586,0.501,0.9,0,NA,0.218,-4.366,1,0.0433,160.096,4,0.943,1
"22",32,232120,0.00274,0.662,0.736,0.000844,7,0.0464,-6.511,1,0.0374,104.003,4,0.674,1
"98",46,251560,0.175,0.923,0.498,0,6,0.0545,-8.363,0,0.364,139.032,4,0.849,1
"101",53,203500,0.0437,0.71,0.827,1.28e-05,0,0.0896,NA,1,0.032,110.003,4,0.833,1
"123",73,190280,0.0901,0.707,0.674,0,1,0.115,-5.578,1,0.177,95.02,4,0.928,1
"123",61,190280,0.0866,0.707,0.676,0,1,0.125,-5.578,1,0.176,NA,4,NA,1
"333",47,222000,0.15,0.71,0.637,0.885,4,0.112,-9.239,1,0.0395,119.997,4,0.343,1
"426",44,298161,0.000733,0.448,0.59,0.39,7,0.337,-8.908,1,0.0296,142.485,3,0.476,1
"435",67,93840,0.00247,0.539,0.804,0.000185,10,0.463,-5.504,0,0.172,85.752,4,0.798,1
"435",67,93840,0.00247,0.539,0.804,0.000185,10,0.463,-5.504,0,0.172,85.752,4,NA,1
"745",64,NA,0.115,0.785,0.476,0.00165,1,0.092,-9.805,1,0.115,118.931,4,0.223,1
"808",49,154921,0.00038,0.73,0.969,0.179,1,0.159,NA,1,0.118,127.968,4,0.259,1
"911",56,259346,0.243,0.72,0.666,5.79e-06,7,0.0872,-9.162,1,0.227,87.024,4,0.707,1
"1234",15,202907,5.32e-05,NA,0.953,0.000375,7,0.062,-4.705,1,0.0288,95,4,0.75,1
"1412",50,109090,0.303,0.914,0.245,NA,4,0.107,-9.504,0,0.411,87.992,4,0.648,1
"1901",68,193106,0.0564,0.604,0.825,NA,0,0.192,-5.373,1,0.0429,144.085,4,0.707,1
"1901",68,193106,0.0564,0.604,0.825,5.8e-05,0,0.192,-5.373,1,0.0429,144.085,4,0.707,1
"1942",81,213080,0.0152,0.817,0.646,0,4,0.125,-5.12,0,0.249,NA,4,0.835,1
"1950",83,225133,0.648,0.6,0.535,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,1
"1950",83,225133,0.648,0.6,0.535,4.7e-06,4,0.162,-7.043,1,NA,71.912,4,0.269,1
"1950",83,225133,0.648,0.6,0.535,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,1
"1950",83,225133,0.648,0.6,0.535,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,1
"1950",83,225133,0.648,0.6,0.535,4.7e-06,4,0.162,-7.043,1,0.107,71.912,4,0.269,1
"1979",54,284000,0.81,0.688,NA,0,8,0.102,-7.469,1,0.027,119.969,4,0.213,1
"1979",19,265893,0.0218,0.768,0.744,0.712,8,0.063,-11.267,1,0.0338,127.036,4,0.963,1
"1985",70,193000,0.000242,0.606,0.887,0,4,NA,-4.404,1,0.0598,119.974,4,0.903,1
"1985",61,193000,0.000246,0.607,0.878,0,4,0.337,-4.422,1,0.0665,119.955,NA,0.853,1
"1999",81,189000,0.0227,NA,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,1
"1999",81,189000,0.0227,0.739,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,1
"1999",81,189000,0.0227,0.739,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,1
"1999",81,189000,0.0227,0.739,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,1
"1999",81,189000,0.0227,0.739,0.742,1.39e-06,7,0.229,-4.586,1,0.0329,124.016,4,0.659,1
"2002",87,186986,0.0372,0.697,0.683,0,1,NA,-2.881,0,0.117,96.133,4,0.603,1
"2002",87,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,1
"2002",87,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,1
"2002",85,186986,0.0372,0.697,0.683,0,1,0.137,-2.881,0,0.117,96.133,4,0.603,1
"07-Nov",75,213506,0.0128,0.747,0.705,NA,9,0.126,-5.137,0,0.126,136.024,4,0.56,1
"""40"" - Live Version 1983",1,225440,0.109,0.257,NA,0.000945,8,0.829,-16.259,1,NA,143.517,4,0.286,1
"#CaixaGang",10,208484,0.612,0.697,0.907,NA,3,0.0624,-5.13,1,0.092,98.953,4,0.542,1
"#SELFIE",27,183750,0.0136,0.808,0.915,9.03e-06,0,0.0788,NA,1,0.233,127.984,4,0.647,1
"$orries",62,214857,0.761,0.526,0.236,0.00387,2,0.126,-13.59,0,0.0955,103.401,4,0.299,1
"& Down",0,258133,0.0473,0.619,NA,0.227,NA,0.314,-4.109,0,0.33,123.003,4,0.262,1
"&burn (with Vince Staples)",28,179015,NA,0.787,0.379,0.00131,9,0.099,-9.364,0,0.245,82.52,4,NA,1
"(Don't Fear) The Reaper",76,308120,0.0029,0.333,0.927,0.000211,9,0.297,-8.55,0,0.0733,141.47,4,0.382,1
"(Don't Fear) The Reaper",76,308120,0.0029,0.333,0.927,0.000211,9,0.297,-8.55,0,0.0733,141.47,4,0.382,1
"(Don't Fear) The Reaper",19,NA,0.00125,0.368,0.928,0.00111,9,0.301,-8.369,0,0.0593,141.175,4,0.532,1
"(I Can’t Get No) Satisfaction - Mono / Remastered",23,223440,0.0365,0.726,0.881,0.0352,2,0.172,-6.971,1,0.0332,NA,4,0.926,1
"(I Can't Get No) Satisfaction",48,222746,NA,0.735,0.82,0.0572,2,0.0983,-8.554,1,0.0494,135.586,4,0.859,1
"(I Just) Died In Your Arms",72,278626,0.0119,0.632,0.727,7.64e-05,11,0.0678,-11.209,0,0.0438,124.919,4,0.499,1
"(I Just) Died In Your Arms",69,280400,0.0158,0.625,0.726,0.000169,11,0.0625,-11.402,0,0.0444,124.945,4,0.507,1
"(I've Had) The Time of My Life",63,289066,0.0874,0.7,0.781,0.00342,6,0.059,-8.255,0,0.0507,108.695,4,0.385,1
"(I've Had) The Time of My Life",21,289680,0.0476,0.697,0.665,0.00665,6,0.0796,-12.907,0,0.0412,108.535,4,0.485,1
"(Let Me Be Your) Teddy Bear",38,107186,0.83,0.628,0.399,NA,0,0.353,-12.447,1,0.18,87.807,4,0.924,1
"(Love Is Like A) Heat Wave",63,NA,0.459,0.624,0.61,0.00435,0,0.271,-9.186,0,0.0543,82.65,4,0.759,1
"(Love Is Like A) Heat Wave - Single Version",13,165666,0.478,0.513,0.847,0.0272,5,0.343,-2.922,0,0.0535,82.967,4,0.817,1
"(Margie's At) The Lincoln Park Inn",33,198733,0.724,0.364,0.318,0.000234,2,0.151,-13.345,1,0.0308,131.155,3,0.525,1
"(Sittin' On) The Dock Of The Bay",64,NA,0.726,0.486,0.312,1.59e-06,2,NA,-13.522,1,NA,205.917,4,0.598,1
"(That's What You Get) For Lovin' Me",37,146133,0.664,NA,0.684,2.94e-06,4,0.0897,-9.806,1,0.0419,89.074,4,0.873,1
"(There's Gotta Be) More To Life",56,200016,0.0917,0.58,0.922,0,1,0.189,-3.785,1,0.0958,89.841,4,0.649,1
"(There's) No Gettin' over Me",39,196293,0.549,0.599,0.47,2.47e-05,6,0.304,-10.477,0,0.0337,200.631,4,0.811,1
"(What A) Wonderful World",71,125440,NA,0.691,NA,0,11,0.457,-10.23,1,0.0343,128.518,4,0.885,1
"(What A) Wonderful World",71,125440,0.627,0.691,0.507,0,11,0.457,-10.23,1,0.0343,128.518,4,0.885,1
"(What A) Wonderful World - Remastered",31,125506,0.734,0.524,0.543,0,11,0.275,-9.889,1,0.0397,128.091,4,0.877,1
"(You Make Me Feel Like) A Natural Woman",71,166812,0.213,0.65,0.323,0,0,NA,-8.698,1,0.0283,110.962,3,0.276,1
"(You Make Me Feel Like) A Natural Woman",62,229066,0.953,0.624,0.158,0.00135,9,0.112,-13.059,1,0.0289,NA,3,0.303,1
"(Your Love Keeps Lifting Me) Higher & Higher",73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,1
"(Your Love Keeps Lifting Me) Higher & Higher",73,181066,0.176,0.631,0.69,0,2,0.121,-6.676,1,0.0531,94.574,4,0.938,1
"(Your Love Keeps Lifting Me) Higher & Higher",73,181066,NA,0.631,0.69,0,2,0.121,-6.676,1,NA,94.574,4,0.938,1
"... And The Hazy Sea",0,373546,0.0161,0.225,NA,0.35,4,0.692,-7.867,1,0.0339,79.135,4,0.217,1
"...Familiar Place",62,175777,0.0128,NA,0.148,NA,7,0.113,-17.775,1,0.037,46.591,4,0.0277,1
"...Ready For It? - BloodPop® Remix",60,189508,0.111,0.581,0.839,NA,7,0.104,-4.843,1,0.229,160.12,4,0.447,1
"[That's What You Do] When You're In Love",34,184946,0.277,NA,0.47,0,10,0.061,-13.137,1,0.0356,160.821,4,0.937,1
"+-",42,306115,0.393,0.709,0.614,0,6,NA,-6.8,1,0.105,110.03,4,0.352,1
"+1 (feat. Sam White) - Radio Edit",12,193280,0.113,0.767,0.807,0.0169,NA,0.1,-3.824,0,0.0369,124.944,4,0.716,1
"+3 (feat. DJ Rashad, DJ Paypal & Nasty Nigel)",0,212546,0.0494,NA,NA,0.267,11,0.189,-7.493,0,0.121,160.043,4,0.358,1
